titulo,duracionEnMinutos,genero,tema
Planet Earth,50,Documentary/Nature,Naturaleza
The Last Dance,60,Documentary/Sports,Basketball
Our Planet,48,Documentary/Nature,Cambio Climático
Making a Murderer,60,Documentary/Crime,Investigación Criminal
The Social Dilemma,94,Documentary/Technology,Impacto de las Redes Sociales
Blackfish,83,Documentary/Animal Rights,Maltrato Animal
13th,100,Documentary/Social Justice,Racismo y Justicia Penal
Apollo 11,93,Documentary/History,Misión Espacial
Won’t You Be My Neighbor?,95,Documentary/Biography,Fred Rogers
